time,tem,heating rate,,,
min,K,K/min,,,
1.633333333,315.55,193.1938776,99.90069513,0,Validation
1.65,315.69,191.3272727,99.90069513,0,Training
1.666666667,315.86,189.516,99.90069513,0,Training
1.683333333,315.97,187.7049505,99.90069513,0,Training
1.7,316.15,185.9705882,99.90069513,0,Training
1.716666667,316.27,184.2349515,99.90069513,0,Training
1.733333333,316.42,182.55,99.90069513,0,Training
1.75,316.58,180.9028571,99.90069513,0,Training
1.766666667,316.71,179.2698113,99.90069513,0,Training
1.783333333,316.87,177.6841121,99.90069513,0,Test
1.8,317.01,176.1166667,99.90069513,0,Validation
1.816666667,317.16,174.5834862,99.90069513,0,Training
1.833333333,317.31,173.0781818,99.90069513,0,Training
1.85,317.46,171.6,99.90069513,0,Training
1.866666667,317.6,170.1428571,99.90069513,0,Training
1.883333333,317.76,168.7221239,99.90069513,0,Validation
1.9,317.89,167.3105263,99.90069513,0,Training
1.916666667,318.07,165.9495652,99.90069513,0,Training
1.933333333,318.21,164.5913793,99.90069513,0,Test
1.95,318.34,163.2512821,99.90069513,0,Training
1.966666667,318.53,161.9644068,99.90069513,0,Training
1.983333333,318.64,160.6588235,99.90069513,0,Training
2,318.84,159.42,99.90069513,0,Training
2.016666667,318.96,158.1619835,99.90069513,0,Training
2.033333333,319.11,156.9393443,99.90069513,0,Test
2.05,319.29,155.7512195,99.90069513,0,Training
2.066666667,319.39,154.5435484,99.90069513,0,Training
2.083333333,319.6,153.408,99.90069513,0,Training
2.1,319.72,152.247619,99.90069513,0,Training
2.116666667,319.89,151.1291339,99.90069513,0,Training
2.133333333,320.05,150.0234375,99.90069513,0,Training
2.15,320.18,148.9209302,99.90069513,0,Validation
2.166666667,320.37,147.8630769,99.90069513,0,Training
2.183333333,320.5,146.7938931,99.90069513,0,Test
2.2,320.66,145.7545455,99.90069513,0,Training
2.216666667,320.81,144.7263158,99.90069513,0,Training
2.233333333,320.97,143.7179104,99.90069513,0,Training
2.25,321.13,142.7244444,99.90069513,0,Validation
2.266666667,321.29,141.7455882,99.90069513,0,Training
2.283333333,321.43,140.7722628,99.90069513,0,Training
2.3,321.6,139.826087,99.90069513,0,Training
2.316666667,321.74,138.8805755,99.90069513,0,Training
2.333333333,321.89,137.9528571,99.90069513,0,Training
2.35,322.07,137.0510638,99.90069513,0,Test
2.366666667,322.19,136.1366197,99.90069513,0,Validation
2.383333333,322.39,135.2685315,99.90069513,0,Training
2.4,322.51,134.3791667,99.90069513,0,Training
2.416666667,322.67,133.5186207,99.90069513,0,Training
2.433333333,322.84,132.6739726,99.90069513,0,Training
2.45,322.96,131.8204082,99.90069513,0,Training
2.466666667,323.17,131.0148649,99.90069513,0,Training
2.483333333,323.29,130.1838926,99.90069513,0,Training
2.5,323.47,129.388,99.90069513,0,Training
2.516666667,323.63,128.594702,99.90069513,0,Training
2.533333333,323.76,127.8,99.90069513,0,Training
2.55,323.96,127.0431373,99.90069513,0,Validation
2.566666667,324.08,126.2649351,99.90069513,0,Training
2.583333333,324.26,125.52,99.90069513,0,Training
2.6,324.41,124.7730769,99.90069513,0,Training
2.616666667,324.56,124.0356688,99.90069513,0,Training
